cursor timestamp xpos ypos event xpath attrs extras
0 1551383934933 1394 1661 mousewheel //*[@id='slider-id-2e4974']/div/img {"IMG":{"src":"http://userpr.ir/wp-content/uploads/2019/01/Baseus-Thin-Case-Cover-For-Samsung-Galaxy-Note-81_2e4974.jpg","data-imagezoom":"true","class":"img-responsive","draggable":"false"}} {}
0 1551383934937 0 0 scroll / {} {}
0 1551383934941 1394 1621 mousewheel //*[@id='slider-id-2e4974']/div/img {"IMG":{"src":"http://userpr.ir/wp-content/uploads/2019/01/Baseus-Thin-Case-Cover-For-Samsung-Galaxy-Note-81_2e4974.jpg","data-imagezoom":"true","class":"img-responsive","draggable":"false"}} {}
0 1551383934949 1394 1575 mousewheel //*[@id='slider-id-2e4974']/div/img {"IMG":{"src":"http://userpr.ir/wp-content/uploads/2019/01/Baseus-Thin-Case-Cover-For-Samsung-Galaxy-Note-81_2e4974.jpg","data-imagezoom":"true","class":"img-responsive","draggable":"false"}} {}
0 1551383934954 0 0 scroll / {} {}
0 1551383934956 1394 1528 mousewheel //*[@id='slider-id-2e4974']/div/img {"IMG":{"src":"http://userpr.ir/wp-content/uploads/2019/01/Baseus-Thin-Case-Cover-For-Samsung-Galaxy-Note-81_2e4974.jpg","data-imagezoom":"true","class":"img-responsive","draggable":"false"}} {}
0 1551383934963 1394 1498 mousewheel //*[@id='slider-id-2e4974']/div/img {"IMG":{"src":"http://userpr.ir/wp-content/uploads/2019/01/Baseus-Thin-Case-Cover-For-Samsung-Galaxy-Note-81_2e4974.jpg","data-imagezoom":"true","class":"img-responsive","draggable":"false"}} {}
0 1551383934971 1394 1446 mousewheel //*[@id='slider-id-2e4974']/div/img {"IMG":{"src":"http://userpr.ir/wp-content/uploads/2019/01/Baseus-Thin-Case-Cover-For-Samsung-Galaxy-Note-81_2e4974.jpg","data-imagezoom":"true","class":"img-responsive","draggable":"false"}} {}
0 1551383934972 0 0 scroll / {} {}
0 1551383934979 1394 1380 mousewheel //*[@id='slider-id-2e4974']/div/img {"IMG":{"src":"http://userpr.ir/wp-content/uploads/2019/01/Baseus-Thin-Case-Cover-For-Samsung-Galaxy-Note-81_2e4974.jpg","data-imagezoom":"true","class":"img-responsive","draggable":"false"}} {}
0 1551383934985 1394 1324 mousewheel //*[@id='slider-id-2e4974']/div/img {"IMG":{"src":"http://userpr.ir/wp-content/uploads/2019/01/Baseus-Thin-Case-Cover-For-Samsung-Galaxy-Note-81_2e4974.jpg","data-imagezoom":"true","class":"img-responsive","draggable":"false"}} {}
0 1551383934987 0 0 scroll / {} {}
0 1551383934995 1394 1253 mousewheel //*[@id='slider-id-2e4974']/div/img {"IMG":{"src":"http://userpr.ir/wp-content/uploads/2019/01/Baseus-Thin-Case-Cover-For-Samsung-Galaxy-Note-81_2e4974.jpg","data-imagezoom":"true","class":"img-responsive","draggable":"false"}} {}
0 1551383935001 1394 1175 mousewheel //*[@id='slider-id-2e4974']/div/img {"IMG":{"src":"http://userpr.ir/wp-content/uploads/2019/01/Baseus-Thin-Case-Cover-For-Samsung-Galaxy-Note-81_2e4974.jpg","data-imagezoom":"true","class":"img-responsive","draggable":"false"}} {}
0 1551383935004 0 0 scroll / {} {}
0 1551383935009 1394 1102 mousewheel //*[@id='slider-id-2e4974']/div/img {"IMG":{"src":"http://userpr.ir/wp-content/uploads/2019/01/Baseus-Thin-Case-Cover-For-Samsung-Galaxy-Note-81_2e4974.jpg","data-imagezoom":"true","class":"img-responsive","draggable":"false"}} {}
0 1551383935016 1394 1025 mousewheel //*[@id='slider-id-2e4974']/div/img {"IMG":{"src":"http://userpr.ir/wp-content/uploads/2019/01/Baseus-Thin-Case-Cover-For-Samsung-Galaxy-Note-81_2e4974.jpg","data-imagezoom":"true","class":"img-responsive","draggable":"false"}} {}
0 1551383935020 0 0 scroll / {} {}
0 1551383935024 1394 945 mousewheel //*[@id='slider-id-2e4974']/div/img {"IMG":{"src":"http://userpr.ir/wp-content/uploads/2019/01/Baseus-Thin-Case-Cover-For-Samsung-Galaxy-Note-81_2e4974.jpg","data-imagezoom":"true","class":"img-responsive","draggable":"false"}} {}
0 1551383935030 1394 870 mousewheel //*[@id='slider-id-2e4974']/div/img {"IMG":{"src":"http://userpr.ir/wp-content/uploads/2019/01/Baseus-Thin-Case-Cover-For-Samsung-Galaxy-Note-81_2e4974.jpg","data-imagezoom":"true","class":"img-responsive","draggable":"false"}} {}
0 1551383935037 0 0 scroll / {} {}
0 1551383935039 1394 799 mousewheel //*[@id='slider-id-2e4974']/div/img {"IMG":{"src":"http://userpr.ir/wp-content/uploads/2019/01/Baseus-Thin-Case-Cover-For-Samsung-Galaxy-Note-81_2e4974.jpg","data-imagezoom":"true","class":"img-responsive","draggable":"false"}} {}
0 1551383935046 1394 728 mousewheel //*[@id='slider-id-2e4974']/div/img {"IMG":{"src":"http://userpr.ir/wp-content/uploads/2019/01/Baseus-Thin-Case-Cover-For-Samsung-Galaxy-Note-81_2e4974.jpg","data-imagezoom":"true","class":"img-responsive","draggable":"false"}} {}
0 1551383935052 1394 664 mousewheel //*[@id='slider-id-2e4974']/div/img {"IMG":{"src":"http://userpr.ir/wp-content/uploads/2019/01/Baseus-Thin-Case-Cover-For-Samsung-Galaxy-Note-81_2e4974.jpg","data-imagezoom":"true","class":"img-responsive","draggable":"false"}} {}
0 1551383935053 0 0 scroll / {} {}
0 1551383935061 1394 646 mousewheel //*[@id='slider-id-2e4974']/div/img {"IMG":{"src":"http://userpr.ir/wp-content/uploads/2019/01/Baseus-Thin-Case-Cover-For-Samsung-Galaxy-Note-81_2e4974.jpg","data-imagezoom":"true","class":"img-responsive","draggable":"false"}} {}
0 1551383935068 1394 646 mousewheel //*[@id='slider-id-2e4974']/div/img {"IMG":{"src":"http://userpr.ir/wp-content/uploads/2019/01/Baseus-Thin-Case-Cover-For-Samsung-Galaxy-Note-81_2e4974.jpg","data-imagezoom":"true","class":"img-responsive","draggable":"false"}} {}
0 1551383935076 1394 646 mousewheel //*[@id='slider-id-2e4974']/div/img {"IMG":{"src":"http://userpr.ir/wp-content/uploads/2019/01/Baseus-Thin-Case-Cover-For-Samsung-Galaxy-Note-81_2e4974.jpg","data-imagezoom":"true","class":"img-responsive","draggable":"false"}} {}
0 1551383935082 1394 646 mousewheel //*[@id='slider-id-2e4974']/div/img {"IMG":{"src":"http://userpr.ir/wp-content/uploads/2019/01/Baseus-Thin-Case-Cover-For-Samsung-Galaxy-Note-81_2e4974.jpg","data-imagezoom":"true","class":"img-responsive","draggable":"false"}} {}
0 1551383935091 1394 646 mousewheel //*[@id='slider-id-2e4974']/div/img {"IMG":{"src":"http://userpr.ir/wp-content/uploads/2019/01/Baseus-Thin-Case-Cover-For-Samsung-Galaxy-Note-81_2e4974.jpg","data-imagezoom":"true","class":"img-responsive","draggable":"false"}} {}
0 1551383935098 1394 646 mousewheel //*[@id='slider-id-2e4974']/div/img {"IMG":{"src":"http://userpr.ir/wp-content/uploads/2019/01/Baseus-Thin-Case-Cover-For-Samsung-Galaxy-Note-81_2e4974.jpg","data-imagezoom":"true","class":"img-responsive","draggable":"false"}} {}
0 1551383935105 1394 646 mousewheel //*[@id='slider-id-2e4974']/div/img {"IMG":{"src":"http://userpr.ir/wp-content/uploads/2019/01/Baseus-Thin-Case-Cover-For-Samsung-Galaxy-Note-81_2e4974.jpg","data-imagezoom":"true","class":"img-responsive","draggable":"false"}} {}
0 1551383935112 1394 646 mousewheel //*[@id='slider-id-2e4974']/div/img {"IMG":{"src":"http://userpr.ir/wp-content/uploads/2019/01/Baseus-Thin-Case-Cover-For-Samsung-Galaxy-Note-81_2e4974.jpg","data-imagezoom":"true","class":"img-responsive","draggable":"false"}} {}
0 1551383935120 1394 646 mousewheel //*[@id='slider-id-2e4974']/div/img {"IMG":{"src":"http://userpr.ir/wp-content/uploads/2019/01/Baseus-Thin-Case-Cover-For-Samsung-Galaxy-Note-81_2e4974.jpg","data-imagezoom":"true","class":"img-responsive","draggable":"false"}} {}
0 1551383935128 1394 646 mousewheel //*[@id='slider-id-2e4974']/div/img {"IMG":{"src":"http://userpr.ir/wp-content/uploads/2019/01/Baseus-Thin-Case-Cover-For-Samsung-Galaxy-Note-81_2e4974.jpg","data-imagezoom":"true","class":"img-responsive","draggable":"false"}} {}
0 1551383935135 1394 646 mousewheel //*[@id='slider-id-2e4974']/div/img {"IMG":{"src":"http://userpr.ir/wp-content/uploads/2019/01/Baseus-Thin-Case-Cover-For-Samsung-Galaxy-Note-81_2e4974.jpg","data-imagezoom":"true","class":"img-responsive","draggable":"false"}} {}
0 1551383935143 1394 646 mousewheel //*[@id='slider-id-2e4974']/div/img {"IMG":{"src":"http://userpr.ir/wp-content/uploads/2019/01/Baseus-Thin-Case-Cover-For-Samsung-Galaxy-Note-81_2e4974.jpg","data-imagezoom":"true","class":"img-responsive","draggable":"false"}} {}
0 1551383935150 1394 646 mousewheel //*[@id='slider-id-2e4974']/div/img {"IMG":{"src":"http://userpr.ir/wp-content/uploads/2019/01/Baseus-Thin-Case-Cover-For-Samsung-Galaxy-Note-81_2e4974.jpg","data-imagezoom":"true","class":"img-responsive","draggable":"false"}} {}
0 1551383935158 1394 646 mousewheel //*[@id='slider-id-2e4974']/div/img {"IMG":{"src":"http://userpr.ir/wp-content/uploads/2019/01/Baseus-Thin-Case-Cover-For-Samsung-Galaxy-Note-81_2e4974.jpg","data-imagezoom":"true","class":"img-responsive","draggable":"false"}} {}
